Url,"Rain=1, no rain =0",,,
http://www.freesound.org/people/LG/sounds/98739/,0,,,
http://www.freesound.org/people/digifishmusic/sounds/62278/,0,,,
http://www.freesound.org/people/mhusinsky/sounds/76439/,0,,,
http://www.freesound.org/people/inchadney/sounds/104390/,0,,,
http://www.freesound.org/people/sphion/sounds/153543/,0,,,
http://www.freesound.org/people/ofabra/sounds/190694/,1,,,
http://www.freesound.org/people/marinusklaassen/sounds/66155/,0,,,
http://www.freesound.org/people/bmoreno/sounds/155300/,0,,,
http://www.freesound.org/people/schafferdavid/sounds/172643/,0,,,
http://www.freesound.org/people/barcelonetasonora/sounds/190696/,1,,,
http://www.freesound.org/people/sengjinn/sounds/175020/,1,,,
http://www.freesound.org/people/zigzagzen/sounds/168048/,1,,,
http://www.freesound.org/people/FreqMan/sounds/20067/,0,,,
http://www.freesound.org/people/ra_gun/sounds/82268/,0,,,
http://www.freesound.org/people/Bruceosonhadordeverdade/sounds/181419/,0,,,
http://www.freesound.org/people/kaonaya/sounds/128005/,0,,,
http://www.freesound.org/people/blaukreuz/sounds/184636/,1,,,
http://www.freesound.org/people/vibe_crc/sounds/50060/,0,,,
http://www.freesound.org/people/ra_gun/sounds/79268/,1,,,
http://www.freesound.org/people/LukeIRL/sounds/176096/,0,,,
http://www.freesound.org/people/bobchoice/sounds/160584/,0,,,
http://www.freesound.org/people/strangely_gnarled/sounds/105362/,1,,,
http://www.freesound.org/people/dobroide/sounds/16836/,0,,,
http://www.freesound.org/people/dobroide/sounds/71864/,1,,,
http://www.freesound.org/people/Kyster/sounds/122789/,0,,,
http://www.freesound.org/people/sagetyrtle/sounds/62488/,0,,,
http://www.freesound.org/people/dobroide/sounds/91752/,1,,,
http://www.freesound.org/people/ra_gun/sounds/79270/,0,,,
http://www.freesound.org/people/LG/sounds/74262/,0,,,
http://www.freesound.org/people/bmoreno/sounds/146692/,0,,,
http://www.freesound.org/people/reinsamba/sounds/21321/,1,,,
http://www.freesound.org/people/vibe_crc/sounds/50057/,0,,,
http://www.freesound.org/people/pheiland/sounds/166661/,1,,,
http://www.freesound.org/people/inchadney/sounds/123703/,1,,,
http://www.freesound.org/people/forrisday/sounds/167363/,0,,,
http://www.freesound.org/people/LG/sounds/57107/,1,,,
